ANO,DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,ipm_pobreza,ipm_sin_salud,ipm_sin_acceso_salud,nivel_sisben,proporcion_rural,Educación_neta_total,Ingresos totales,pcte_poblacion_rural
2009,ANTIOQUIA,5002,ABEJORRAL,0,0,0,0,0,0.89,8193.65,0
2009,ANTIOQUIA,5004,ABRIAQUI,0,0,0,0,0,0.88,2992.01,0
2009,ANTIOQUIA,5021,ALEJANDRIA,0,0,0,0,0,1.13,5219.18,0
2009,ANTIOQUIA,5030,AMAGA,0,0,0,0,0,0.81,11334.66,0
2009,ANTIOQUIA,5031,AMALFI,0,0,0,0,0,0.88,17377.29,0
2009,ANTIOQUIA,5034,ANDES,0,0,0,0,0,0.81,19764.76,0
2009,ANTIOQUIA,5036,ANGELOPOLIS,0,0,0,0,0,0.78,6221.73,0
2009,ANTIOQUIA,5038,ANGOSTURA,0,0,0,0,0,0.75,9539.95,0
2009,ANTIOQUIA,5040,ANORI,0,0,0,0,0,0.91,12051.77,0
2009,ANTIOQUIA,5044,ANZA,0,0,0,0,0,0.84,5307.58,0
2009,ANTIOQUIA,5045,APARTADO,0,0,0,0,0,0.57,46539.43,0
2009,ANTIOQUIA,5051,ARBOLETES,0,0,0,0,0,0.86,13742.09,0
2009,ANTIOQUIA,5055,ARGELIA,0,0,0,0,0,0.78,6806.97,0
2009,ANTIOQUIA,5059,ARMENIA,0,0,0,0,0,0.91,3859.62,0
2009,ANTIOQUIA,5079,BARBOSA,0,0,0,0,0,0.91,19295.86,0
2009,ANTIOQUIA,5088,BELLO,0,0,0,0,0,0.86,315245.59,0
2009,ANTIOQUIA,5086,BELMIRA,0,0,0,0,0,0.89,4840.41,0
2009,ANTIOQUIA,5091,BETANIA,0,0,0,0,0,0.85,5560.22,0
2009,ANTIOQUIA,5093,BETULIA,0,0,0,0,0,0.75,9647.7,0
2009,ANTIOQUIA,5107,BRICEÑO,0,0,0,0,0,0.9,6895.51,0
2009,ANTIOQUIA,5113,BURITICA,0,0,0,0,0,0.9,6411.76,0
2009,ANTIOQUIA,5125,CAICEDO,0,0,0,0,0,0.77,5972.18,0
2009,ANTIOQUIA,5129,CALDAS,0,0,0,0,0,0.92,26761.38,0
2009,ANTIOQUIA,5134,CAMPAMENTO,0,0,0,0,0,0.92,7124.82,0
2009,ANTIOQUIA,5142,CARACOLI,0,0,0,0,0,0.87,4138.84,0
2009,ANTIOQUIA,5145,CARAMANTA,0,0,0,0,0,0.85,3702.65,0
2009,ANTIOQUIA,5147,CAREPA,0,0,0,0,0,0.78,17444.82,0
2009,ANTIOQUIA,5150,CAROLINA,0,0,0,0,0,1.21,6145.48,0
2009,ANTIOQUIA,5154,CAUCASIA,0,0,0,0,0,0.77,37840.81,0
2009,ANTIOQUIA,5138,CAÑASGORDAS,0,0,0,0,0,0.78,9542.86,0
2009,ANTIOQUIA,5190,CISNEROS,0,0,0,0,0,1.01,5686.28,0
2009,ANTIOQUIA,5101,CIUDAD BOLIVAR,0,0,0,0,0,0.83,12592.39,0
2009,ANTIOQUIA,5197,COCORNA,0,0,0,0,0,0.93,7769.7,0
2009,ANTIOQUIA,5206,CONCEPCION,0,0,0,0,0,0.75,5228.53,0
2009,ANTIOQUIA,5209,CONCORDIA,0,0,0,0,0,1.16,10436.22,0
2009,ANTIOQUIA,5212,COPACABANA,0,0,0,0,0,0.99,34597.81,0
2009,ANTIOQUIA,5120,CACERES,0,0,0,0,0,0.89,16535.04,0
2009,ANTIOQUIA,5234,DABEIBA,0,0,0,0,0,0.8,12594.08,0
2009,ANTIOQUIA,5240,EBEJICO,0,0,0,0,0,0.86,7158.37,0
2009,ANTIOQUIA,5250,EL BAGRE,0,0,0,0,0,0.89,30157.44,0
2009,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,0,0,0,0,0,0.8,16711.29,0
2009,ANTIOQUIA,5697,EL SANTUARIO,0,0,0,0,0,1.08,14532.62,0
2009,ANTIOQUIA,5264,ENTRERRIOS,0,0,0,0,0,0,7545.91,0
2009,ANTIOQUIA,5266,ENVIGADO,0,0,0,0,0,0.75,163460.83,0
2009,ANTIOQUIA,5282,FREDONIA,0,0,0,0,0,0.87,12168.06,0
2009,ANTIOQUIA,5284,FRONTINO,0,0,0,0,0,1.02,11632.88,0
2009,ANTIOQUIA,5306,GIRALDO,0,0,0,0,0,0.93,3787.59,0
2009,ANTIOQUIA,5308,GIRARDOTA,0,0,0,0,0,0.87,25911.46,0
2009,ANTIOQUIA,5313,GRANADA,0,0,0,0,0,0.98,6115.41,0
2009,ANTIOQUIA,5315,GUADALUPE,0,0,0,0,0,0.88,5041.84,0
2009,ANTIOQUIA,5318,GUARNE,0,0,0,0,0,0.76,19255.93,0
2009,ANTIOQUIA,5321,GUATAPE,0,0,0,0,0,1,12785.46,0
2009,ANTIOQUIA,5310,GOMEZ PLATA,0,0,0,0,0,0.72,8648.15,0
2009,ANTIOQUIA,5347,HELICONIA,0,0,0,0,0,0.84,5836.05,0
2009,ANTIOQUIA,5353,HISPANIA,0,0,0,0,0,1,4144.64,0
2009,ANTIOQUIA,5364,JARDIN,0,0,0,0,0,0.91,7626.7,0
2009,ANTIOQUIA,5368,JERICO,0,0,0,0,0,0.84,9472.94,0
2009,ANTIOQUIA,5376,LA CEJA,0,0,0,0,0,0.87,25143.02,0
2009,ANTIOQUIA,5380,LA ESTRELLA,0,0,0,0,0,0.93,27739.08,0
2009,ANTIOQUIA,5390,LA PINTADA,0,0,0,0,0,1.16,6752.76,0
2009,ANTIOQUIA,5400,LA UNION,0,0,0,0,0,0.88,8188.25,0
2009,ANTIOQUIA,5411,LIBORINA,0,0,0,0,0,0.9,4617.43,0
2009,ANTIOQUIA,5425,MACEO,0,0,0,0,0,1.14,9552.46,0
2009,ANTIOQUIA,5440,MARINILLA,0,0,0,0,0,0.88,23595.41,0
2009,ANTIOQUIA,5001,MEDELLIN,0,0,0,0,0,1.1,2633710.5,0
2009,ANTIOQUIA,5467,MONTEBELLO,0,0,0,0,0,0.91,5343.54,0
2009,ANTIOQUIA,5475,MURINDO,0,0,0,0,0,1.07,6502.67,0
2009,ANTIOQUIA,5480,MUTATA,0,0,0,0,0,0.84,9862.59,0
2009,ANTIOQUIA,5483,NARIÑO,0,0,0,0,0,0.67,7119.71,0
2009,ANTIOQUIA,5495,NECHI,0,0,0,0,0,0.88,18499.87,0
2009,ANTIOQUIA,5490,NECOCLI,0,0,0,0,0,0.95,22550.11,0
2009,ANTIOQUIA,5501,OLAYA,0,0,0,0,0,0.8,3791.76,0
2009,ANTIOQUIA,5543,PEQUE,0,0,0,0,0,0.82,6060.16,0
2009,ANTIOQUIA,5541,PEÑOL,0,0,0,0,0,0.92,11922.1,0
2009,ANTIOQUIA,5576,PUEBLORRICO,0,0,0,0,0,0.89,4975.33,0
2009,ANTIOQUIA,5579,PUERTO BERRIO,0,0,0,0,0,0.9,21769.87,0
2009,ANTIOQUIA,5585,PUERTO NARE,0,0,0,0,0,0.75,15259.95,0
2009,ANTIOQUIA,5591,PUERTO TRIUNFO,0,0,0,0,0,0.82,14164.84,0
2009,ANTIOQUIA,5604,REMEDIOS,0,0,0,0,0,0.98,17101.59,0
2009,ANTIOQUIA,5607,RETIRO,0,0,0,0,0,0.98,17129.75,0
2009,ANTIOQUIA,5615,RIONEGRO,0,0,0,0,0,0.84,136932.14,0
2009,ANTIOQUIA,5628,SABANALARGA,0,0,0,0,0,1.24,5520.45,0
2009,ANTIOQUIA,5631,SABANETA,0,0,0,0,0,1.13,52882.11,0
2009,ANTIOQUIA,5642,SALGAR,0,0,0,0,0,0.81,7894.91,0
2009,ANTIOQUIA,5649,SAN CARLOS,0,0,0,0,0,0.85,16938.49,0
2009,ANTIOQUIA,5652,SAN FRANCISCO,0,0,0,0,0,0.72,5286.73,0
2009,ANTIOQUIA,5656,SAN JERONIMO,0,0,0,0,0,0.93,8117.76,0
2009,ANTIOQUIA,5658,SAN JOSE DE LA MONTAÑA,0,0,0,0,0,0.91,3701.35,0
2009,ANTIOQUIA,5659,SAN JUAN DE URABA,0,0,0,0,0,0.93,12358.25,0
2009,ANTIOQUIA,5660,SAN LUIS,0,0,0,0,0,0.68,6946.56,0
2009,ANTIOQUIA,5664,SAN PEDRO,0,0,0,0,0,0.77,13694.33,0
2009,ANTIOQUIA,5665,SAN PEDRO DE URABA,0,0,0,0,0,1.24,14789.25,0
2009,ANTIOQUIA,5667,SAN RAFAEL,0,0,0,0,0,1.01,10536.02,0
2009,ANTIOQUIA,5670,SAN ROQUE,0,0,0,0,0,0.92,11112.65,0
2009,ANTIOQUIA,5674,SAN VICENTE,0,0,0,0,0,1.05,10190.08,0
2009,ANTIOQUIA,5686,SANTA ROSA DE OSOS,0,0,0,0,0,1.01,17362.81,0
