ANO,DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,META,DOSIS APLICADAS,COBERTURA
2009,ANTIOQUIA,5002,ABEJORRAL,364,300,82.4
2009,ANTIOQUIA,5004,ABRIAQUI,40,28,70
2009,ANTIOQUIA,5021,ALEJANDRIA,51,53,103.9
2009,ANTIOQUIA,5030,AMAGA,558,380,68.1
2009,ANTIOQUIA,5031,AMALFI,480,413,86
2009,ANTIOQUIA,5034,ANDES,862,596,69.1
2009,ANTIOQUIA,5036,ANGELOPOLIS,129,92,71.3
2009,ANTIOQUIA,5038,ANGOSTURA,294,189,64.3
2009,ANTIOQUIA,5040,ANORI,325,326,100.3
2009,ANTIOQUIA,5044,ANZA,164,132,80.5
2009,ANTIOQUIA,5045,APARTADO,3866,2891,74.8
2009,ANTIOQUIA,5051,ARBOLETES,885,537,60.7
2009,ANTIOQUIA,5055,ARGELIA,236,181,76.7
2009,ANTIOQUIA,5059,ARMENIA,93,71,76.3
2009,ANTIOQUIA,5079,BARBOSA,904,548,60.6
2009,ANTIOQUIA,5088,BELLO,6957,5350,76.9
2009,ANTIOQUIA,5086,BELMIRA,143,83,58
2009,ANTIOQUIA,5091,BETANIA,204,170,83.3
2009,ANTIOQUIA,5093,BETULIA,375,289,77.1
2009,ANTIOQUIA,5107,BRICEñO,188,176,93.6
2009,ANTIOQUIA,5113,BURITICA,150,141,94
2009,ANTIOQUIA,5120,CACERES,961,885,92.1
2009,ANTIOQUIA,5125,CAICEDO,202,128,63.4
2009,ANTIOQUIA,5129,CALDAS,1115,950,85.2
2009,ANTIOQUIA,5134,CAMPAMENTO,194,161,83
2009,ANTIOQUIA,5142,CARACOLI,94,73,77.7
2009,ANTIOQUIA,5145,CARAMANTA,100,56,56
2009,ANTIOQUIA,5147,CAREPA,1241,758,61.1
2009,ANTIOQUIA,5150,CAROLINA,68,44,64.7
2009,ANTIOQUIA,5154,CAUCASIA,2245,1895,84.4
2009,ANTIOQUIA,5138,CAÃ‘ASGORDAS,379,207,54.6
2009,ANTIOQUIA,5190,CISNEROS,166,130,78.3
2009,ANTIOQUIA,5101,CIUDAD BOLIVAR,569,461,81
2009,ANTIOQUIA,5197,COCORNA,273,215,78.8
2009,ANTIOQUIA,5206,CONCEPCION,64,59,92.2
2009,ANTIOQUIA,5209,CONCORDIA,471,303,64.3
2009,ANTIOQUIA,5212,COPACABANA,890,612,68.8
2009,ANTIOQUIA,5234,DABEIBA,628,433,68.9
2009,ANTIOQUIA,5240,EBEJICO,243,134,55.1
2009,ANTIOQUIA,5250,EL BAGRE,1169,1089,93.2
2009,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,926,523,56.5
2009,ANTIOQUIA,5697,EL SANTUARIO,457,516,112.9
2009,ANTIOQUIA,5264,ENTRERRIOS,180,165,91.7
2009,ANTIOQUIA,5266,ENVIGADO,2780,1660,59.7
2009,ANTIOQUIA,5282,FREDONIA,392,376,95.9
2009,ANTIOQUIA,5284,FRONTINO,434,417,96.1
2009,ANTIOQUIA,5306,GIRALDO,82,73,89
2009,ANTIOQUIA,5308,GIRARDOTA,859,499,58.1
