DEPARTAMENTO,CODIGO MUNICIPIO,MUNICIPIO,UBICACION_ID
ANTIOQUIA,5002.0,ABEJORRAL,1
ANTIOQUIA,5004.0,ABRIAQUI,2
ANTIOQUIA,5021.0,ALEJANDRIA,3
ANTIOQUIA,5030.0,AMAGA,4
ANTIOQUIA,5031.0,AMALFI,5
ANTIOQUIA,5034.0,ANDES,6
ANTIOQUIA,5036.0,ANGELOPOLIS,7
ANTIOQUIA,5038.0,ANGOSTURA,8
ANTIOQUIA,5040.0,ANORI,9
ANTIOQUIA,5044.0,ANZA,10
ANTIOQUIA,5045.0,APARTADO,11
ANTIOQUIA,5051.0,ARBOLETES,12
ANTIOQUIA,5055.0,ARGELIA,13
ANTIOQUIA,5059.0,ARMENIA,14
ANTIOQUIA,5079.0,BARBOSA,15
ANTIOQUIA,5088.0,BELLO,16
ANTIOQUIA,5086.0,BELMIRA,17
ANTIOQUIA,5091.0,BETANIA,18
ANTIOQUIA,5093.0,BETULIA,19
ANTIOQUIA,5107.0,BRICEÑO,20
ANTIOQUIA,5113.0,BURITICA,21
ANTIOQUIA,5120.0,CACERES,22
ANTIOQUIA,5125.0,CAICEDO,23
ANTIOQUIA,5129.0,CALDAS,24
ANTIOQUIA,5134.0,CAMPAMENTO,25
ANTIOQUIA,5142.0,CARACOLI,26
ANTIOQUIA,5145.0,CARAMANTA,27
ANTIOQUIA,5147.0,CAREPA,28
ANTIOQUIA,5150.0,CAROLINA,29
ANTIOQUIA,5154.0,CAUCASIA,30
ANTIOQUIA,5138.0,CAÑASGORDAS,31
ANTIOQUIA,5190.0,CISNEROS,32
ANTIOQUIA,5101.0,CIUDAD BOLIVAR,33
ANTIOQUIA,5197.0,COCORNA,34
ANTIOQUIA,5206.0,CONCEPCION,35
ANTIOQUIA,5209.0,CONCORDIA,36
ANTIOQUIA,5212.0,COPACABANA,37
ANTIOQUIA,5234.0,DABEIBA,38
ANTIOQUIA,5240.0,EBEJICO,39
ANTIOQUIA,5250.0,EL BAGRE,40
ANTIOQUIA,5148.0,EL CARMEN DE VIBORAL,41
ANTIOQUIA,5697.0,EL SANTUARIO,42
