FECHA_ID,UBICACION_ID,META,DOSIS APLICADAS,COBERTURA
1,1,364,300,82.4
1,2,40,28,70.0
1,3,51,53,103.9
1,4,558,380,68.1
1,5,480,413,86.0
1,6,862,596,69.1
1,7,129,92,71.3
1,8,294,189,64.3
1,9,325,326,100.3
1,10,164,132,80.5
1,11,3866,2891,74.8
1,12,885,537,60.7
1,13,236,181,76.7
1,14,93,71,76.3
1,15,904,548,60.6
1,16,6957,5350,76.9
1,17,143,83,58.0
1,18,204,170,83.3
1,19,375,289,77.1
1,20,188,176,93.6
1,21,150,141,94.0
1,22,961,885,92.1
1,23,202,128,63.4
1,24,1115,950,85.2
1,25,194,161,83.0
1,26,94,73,77.7
1,27,100,56,56.0
1,28,1241,758,61.1
1,29,68,44,64.7
1,30,2245,1895,84.4
1,31,379,207,54.6
1,32,166,130,78.3
1,33,569,461,81.0
1,34,273,215,78.8
1,35,64,59,92.2
1,36,471,303,64.3
1,37,890,612,68.8
1,38,628,433,68.9
1,39,243,134,55.1
1,40,1169,1089,93.2
1,41,926,523,56.5
1,42,457,516,112.9
1,43,180,165,91.7
1,44,2780,1660,59.7
1,45,392,376,95.9
1,46,434,417,96.1
1,47,82,73,89.0
1,48,859,499,58.1
1,49,220,131,59.5
1,50,184,125,67.9
1,51,111,115,103.6
1,52,866,484,55.9
1,53,96,66,68.8
1,54,129,70,54.3
1,55,85,75,88.2
1,56,299,203,67.9
1,57,227,146,64.3
1,58,874,631,72.2
1,59,987,376,38.1
1,60,129,113,87.6
1,61,379,285,75.2
1,62,155,162,104.5
1,63,136,128,94.1
1,64,1000,632,63.2
1,65,28948,28650,99.0
1,66,129,82,63.6
1,67,86,89,103.5
1,68,427,407,95.3
1,69,361,164,45.4
1,70,531,412,77.6
1,71,1389,1419,102.2
1,72,66,46,69.7
1,73,222,158,71.2
1,74,328,213,64.9
1,75,164,122,74.4
1,76,776,825,106.3
1,77,377,272,72.1
1,78,388,308,79.4
1,79,532,448,84.2
1,80,335,177,52.8
1,81,1903,1506,79.1
1,82,201,148,73.6
1,83,499,389,78.0
1,84,407,285,70.0
1,85,327,184,56.3
1,86,124,135,108.9
1,87,239,154,64.4
1,88,80,75,93.8
1,89,699,523,74.8
1,90,242,221,91.3
1,91,492,389,79.1
1,92,820,794,96.8
1,93,232,219,94.4
1,94,383,368,96.1
1,95,307,253,82.4
1,96,617,597,96.8
1,97,499,341,68.3
1,98,225,162,72.0
1,99,840,667,79.4
1,100,649,641,98.8
1,101,259,171,66.0
1,102,249,192,77.1
1,103,1081,858,79.4
1,104,159,68,42.8
1,105,218,120,55.0
1,106,157,109,69.4
1,107,3521,2549,72.4
1,108,182,148,81.3
1,109,907,467,51.5
1,110,502,478,95.2
1,111,123,67,54.5
1,112,249,195,78.3
1,113,1039,1058,101.8
1,114,20345,22737,111.8
1,115,373,366,98.1
1,116,253,267,105.5
1,117,768,766,99.7
1,118,299,293,98.0
1,119,553,557,100.7
1,120,2334,2321,99.4
1,121,281,276,98.2
1,122,451,486,107.8
1,123,113,111,98.2
1,124,279,290,103.9
1,125,457,459,100.4
1,126,468,496,106.0
1,127,558,565,101.3
1,128,530,536,101.1
1,129,1962,1912,97.5
1,130,254,249,98.0
1,131,424,419,98.8
1,132,10366,10259,99.0
1,133,168,165,98.2
1,134,209,205,98.1
1,135,184,179,97.3
1,136,869,914,105.2
1,137,191,186,97.4
1,138,135,139,103.0
1,139,104,117,112.5
1,140,253,270,106.7
1,141,47,37,78.7
1,142,302,291,96.4
1,143,216,168,77.8
1,144,336,398,118.5
1,145,11298,11730,103.8
1,146,191,104,54.5
1,147,72,65,90.3
1,148,367,392,106.8
1,149,296,332,112.2
1,150,486,498,102.5
1,151,135,99,73.3
1,152,292,278,95.2
1,153,61,52,85.2
1,154,308,275,89.3
1,155,170,195,114.7
1,156,124,80,64.5
1,157,1276,1142,89.5
1,158,72,82,113.9
1,159,74,71,95.9
1,160,1675,1998,119.3
1,161,1008,861,85.4
1,162,100,84,84.0
1,163,183,216,118.0
1,164,117,108,92.3
1,165,195,195,100.0
1,166,364,378,103.8
1,167,105,102,97.1
1,168,59,46,78.0
1,169,567,486,85.7
1,170,103,100,97.1
1,171,546,521,95.4
1,172,948,952,100.4
1,173,359,284,79.1
1,174,121,100,82.6
1,175,1501,1435,95.6
1,176,39,26,66.7
1,177,101,54,53.5
1,178,159,134,84.3
1,179,506,409,80.8
1,180,139,114,82.0
1,181,3306,3810,115.2
1,182,115,67,58.3
1,183,285,139,48.8
1,184,7553,9385,124.3
1,185,44,25,56.8
1,186,37,30,81.1
1,187,102,90,88.2
1,188,85,65,76.5
1,189,41,26,63.4
1,190,116,66,56.9
1,191,210,195,92.9
1,192,49,27,55.1
1,193,47,41,87.2
1,194,92,46,50.0
1,195,883,768,87.0
1,196,102,83,81.4
1,197,51,43,84.3
1,198,87,48,55.2
1,199,148,74,50.0
1,200,218,139,63.8
1,201,376,297,79.0
1,202,39,24,61.5
1,203,137,94,68.6
1,204,284,257,90.5
1,205,58,53,91.4
1,206,64,50,78.1
1,207,138,114,82.6
1,208,3876,3970,102.4
1,209,52,54,103.8
1,210,109,59,54.1
1,211,2697,2369,87.8
1,212,125,105,84.0
1,213,111,71,64.0
1,214,45,34,75.6
1,215,68,42,61.8
1,216,37,35,94.6
1,217,69,41,59.4
1,218,23,20,87.0
1,219,175,122,69.7
1,220,97,59,60.8
1,221,347,271,78.1
1,222,679,654,96.3
1,223,229,208,90.8
1,224,42,38,90.5
1,225,310,293,94.5
1,226,104,76,73.1
1,227,239,174,72.8
1,228,98,60,61.2
1,229,97,70,72.2
1,230,241,142,58.9
1,231,120,59,49.2
1,232,55,15,27.3
1,233,46,20,43.5
1,234,89,56,62.9
1,235,2246,1922,85.6
1,236,86,45,52.3
1,237,228,155,68.0
1,238,175,114,65.1
1,239,733,610,83.2
1,240,573,479,83.6
1,241,385,563,146.2
1,242,150,126,84.0
1,243,78,30,38.5
1,244,659,871,132.2
1,245,47,49,104.3
1,246,90,55,61.1
1,247,45,22,48.9
1,248,676,487,72.0
1,249,46,19,41.3
1,250,105,75,71.4
1,251,177,139,78.5
1,252,503,450,89.5
1,253,191,174,91.1
1,254,187,148,79.1
1,255,61,52,85.2
1,256,131,112,85.5
1,257,86,70,81.4
1,258,445,227,51.0
1,259,54,17,31.5
1,260,103,99,96.1
1,261,157,142,90.4
1,262,353,193,54.7
1,263,289,251,86.9
1,264,403,369,91.6
1,265,133,79,59.4
1,266,299,266,89.0
1,267,345,241,69.9
1,268,499,305,61.1
1,269,1220,934,76.6
1,270,2095,1698,81.1
1,271,630,507,80.5
1,272,209,172,82.3
1,273,192,112,58.3
1,274,899,909,101.1
1,275,181,154,85.1
1,276,1065,994,93.3
1,277,320,221,69.1
1,278,548,516,94.2
1,279,1871,1350,72.2
1,280,180,117,65.0
1,281,592,425,71.8
1,282,205,166,81.0
1,283,293,245,83.6
1,284,4264,3063,71.8
1,285,1054,811,76.9
1,286,283,249,88.0
1,287,291,213,73.2
